published_at,category,title,summary,source,source_url,symbol,stock_name,importance,status,source_type,item_id
2026-08-21,个股资讯,91股今日获机构买入评级,301363 美好医疗 1 -0.82 53.97 医药生物 600030 中信证券 1 0.30 9.08 非银金融 002155 湖南黄金 1 20.05 有色金属 002043 兔宝宝 1 -3.31 22.06 建筑材料 002049 紫光国微 1 -0.25 33.11 电子 000001,证券时报网,http://finance.eastmoney.com/a/202608213849390379.html,000001.SZ,平安银行,normal,全市场近一个月,东方财富个股新闻,news-d037f79db854bb0d
2026-08-21,个股资讯,债市公告精选 | 万科 2026 年至今到期公开债全部完成展期；南京公用就 1.128 亿元借款违约提起诉讼,【万科A：2026年至今到期的公开债已全部完成展期】 万科A（000002）8月20日在互动平台表示，2026年至今到期的公开债已全部完成展期，并且已完成首笔分期兑付，目前公开债均没有逾期，相关展期事项已在深交所和银行间市场交易商协会网站公告。,财联社,http://finance.eastmoney.com/a/202608213849131238.html,000002.SZ,万 科Ａ,normal,全市场近一个月,东方财富个股新闻,news-a140609b30a0a276
2026-08-21,个股资讯,美财长威胁对伊朗实施“前所未有的经济孤立”；商务部回应美征收无人机关税问题；上海市出台楼市“沪八条”；许家印被判处无期徒刑丨每经早参,10 万科A：2026年至今到期的公开债已全部完成展期 万科A（SZ000002，股价3.14元，市值375亿元）：8月20日，万科A在互动平台表示，2026年至今到期的公开债已全部完成展期，并且已完成首笔分期兑付，目前公开债均没有逾期，相关展期事项已在深交所和银行间市场交易商协会网站公告,每日经济新闻,http://finance.eastmoney.com/a/202608213848270020.html,000002.SZ,万 科Ａ,normal,全市场近一个月,东方财富个股新闻,news-66b81174ba1b6037
2026-08-21,个股资讯,31.00亿主力资金净流入，金属钴概念涨1.55%,浙富控股 0.21 0.94 -1220.07 -5.54 601669 中国电建 -0.43 0.42 -1311.49 -5.18 301219 腾远钴业 -1.37 4.84 -1318.86 -2.16 300409 道氏技术 0.60 2.16 -1501.13 -5.45 000009,证券时报网,http://finance.eastmoney.com/a/202608213849303162.html,000009.SZ,中国宝安,normal,全市场近一个月,东方财富个股新闻,news-36cc96a5114f884a
2026-08-21,个股资讯,黄金概念涨2.46%，主力资金净流入这些股,萃华 -10.08 16.52 -500.71 -11.25 603979 金诚信 0.27 0.84 -509.46 -1.29 603077 和邦生物 -0.42 1.36 -992.92 -3.51 002266 浙富控股 0.21 0.94 -1220.07 -5.54 000009,证券时报网,http://finance.eastmoney.com/a/202608213849304926.html,000009.SZ,中国宝安,normal,全市场近一个月,东方财富个股新闻,news-097cc5d3656635f2
2026-08-21,个股资讯,小金属概念上涨1.87%，26股主力资金净流入超亿元,道氏技术 0.60 2.16 -1501.13 -5.45 000969 安泰科技 1.34 1.48 -1549.88 -6.04 603407 长裕集团 -1.11 15.45 -1563.17 -4.76 600366 宁波韵升 0.26 2.42 -1890.69 -6.09 000009,证券时报网,http://finance.eastmoney.com/a/202608213849301195.html,000009.SZ,中国宝安,normal,全市场近一个月,东方财富个股新闻,news-88e4d1457b298a86
2026-08-21,个股资讯,A股平均股价14.38元 64股股价不足2元,华联股份 1.43 -1.38 1.60 0.60 商贸零售 002217 ST合力泰 1.45 0.00 0.96 5.80 电子 601880 辽港股份 1.45 -1.36 0.20 0.84 交通运输 600370 *ST三房 1.50 2.04 0.45 1.23 基础化工 000010,证券时报网,http://finance.eastmoney.com/a/202608213849301424.html,000010.SZ,*ST美丽,normal,全市场近一个月,东方财富个股新闻,news-a21ae3f15273388e
2026-08-21,个股资讯,*ST康佳A：筹划重大事项 下周一起停牌,*ST康佳A000016.SZ)公告称，公司正在筹划重大事项，该事项尚存在不确定性，为保证公平信息披露，维护投资者利益，公司证券自2026年8月24日开市起停牌，预计停牌时间不超过5个交易日。,财联社,http://finance.eastmoney.com/a/202608213849399996.html,000016.SZ,*ST康佳A,medium,全市场近一个月,东方财富个股新闻,news-5fae08223dbcf452
2026-08-21,个股资讯,深中华A000017龙虎榜数据08-21,交易所2026年8月21日公布的交易公开信息显示，深中华A因成为连续三个交易日内，涨幅偏离值累计达到20%的证券上榜。深中华A当日收报7.11元，涨跌幅10.06%，换手率9.43%，成交额2.94亿。异常期间8月19日至8月21日，期间涨幅17.91%，累计偏离值21.55%，区间成交额,东方财富Choice数据,http://finance.eastmoney.com/a/202608213849291865.html,000017.SZ,深中华A,normal,全市场近一个月,东方财富个股新闻,news-25a7d38229bed62c
2026-08-21,个股资讯,今日61只股长线走稳 站上年线,22.38 66.62 77.32 16.05 300016 北陆药业 20.00 22.65 9.01 10.44 15.84 301591 肯特股份 20.01 24.90 34.74 37.78 8.76 002360 ST同德 6.65 1.41 5.48 5.77 5.34 000017,证券时报网,http://finance.eastmoney.com/a/202608213849249383.html,000017.SZ,深中华A,normal,全市场近一个月,东方财富个股新闻,news-f46549851989ffde
